eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2000,182232.2,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2001,97656.19,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2002,109239.37,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2003,387792.61,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2004,17931.02,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2005,225925.06,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2006,127152.24,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2007,71243.73,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2008,35693.45,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2009,69972.13,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2010,21421.84,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2011,102608.03,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2012,376274.6,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2013,7234.53,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2014,32601.46,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2015,102688.18,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2016,64886.96,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2017,155868.74,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2018,272066.91,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2019,304706.1,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2020,200526.06,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2021,110909.94,
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2022,648748.59,
